country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Unnamed,Total
Brésil,40600,41600,42300,43200,44700,46300,47300,49100,50700,51800,53000,53400,54100,54700,54600,54400,54900,55300,56000,57000,57500,58100,59200,59300,60000,60100,59800,25.0,1419025.0
Inde,36400,37200,38000,38700,39700,40500,41500,42800,43700,44300,45000,45700,46400,47100,47800,48800,48400,48300,48400,47800,47200,46800,45900,47000,47700,48300,48600,77.0,1208077.0
Russie,25400,28400,34800,44500,51400,51400,47700,43400,42500,45100,46500,45600,45100,44400,42900,41500,37200,34400,32500,29400,28000,26200,24700,24000,23800,24200,24600,139.0,989739.0
Chine,46300,46800,46800,47700,48600,49200,49800,50000,49100,46800,43900,41100,38700,35800,33500,31400,29700,27800,26200,24900,23400,22000,20600,19800,19200,18800,18700,37.0,956637.0
Colombie,22900,25600,26600,26700,26300,25600,25600,24800,24700,25300,26200,26300,26200,22900,21600,19600,19000,18100,18100,18600,18000,17300,17100,16700,16700,16700,16700,38.0,589938.0
